SDY,1,2001-01-01
LOB,355,2002-03-08
DDS,6,2002-03-19
SDK,96,2002-03-29
SDY,95,2002-03-29
MRD,432,2002-06-26
TP1,60,2002-09-01
MRL,235,2002-09-16
SRL,208,2002-09-16
TP2,30,2002-10-01
BPT,6,2002-10-04
EDS,3,2002-10-15
PSV,315,2002-10-20
FMR,3,2002-11-25
JMP,1,2002-11-26
MP1,15,2002-12-20
DL1,4,2003-01-01
DOR,6,2003-02-16
LON,315,2003-03-01
TP3,20,2003-03-01
SDJ,50,2003-03-30
SDP,50,2003-03-30
SDD,6,2003-04-15
LOD,202,2003-06-06
PGD,108,2003-07-18
BPT,6,2003-09-01
TP4,20,2003-10-01
MFC,108,2003-10-10
DMG,1,2003-10-28
TFK,6,2003-11-04
TSC,6,2003-11-04
PCY,2,2003-11-18
PCY,10,2003-11-18
DCR,212,2003-12-01
HL1,2,2004-01-01
JMP,1,2004-01-01
WC4,6,2004-02-10
IOC,224,2004-03-01
SKE,50,2004-03-01
SYE,50,2004-03-01
DOD,5,2004-03-23
IOC,4,2004-04-01
PCK,6,2004-04-06
EP1,1,2004-05-15
AST,112,2004-06-01
EM1,1,2004-06-19
PCJ,3,2004-06-29
ROD,3,2004-06-29
EP1,8,2004-07-25
WCS,3,2004-07-25
MOV,4,2004-08-13
CT1,6,2004-09-01
HL1,2,2004-10-01
SOD,60,2004-10-01
DB1,262,2004-10-12
DBT,3,2004-10-26
JMP,1,2004-11-01
TP5,20,2004-11-01
RDS,60,2004-11-20
CMC,3,2004-11-26
DL6,1,2004-12-01
MC1,6,2004-12-01
SJC,1,2004-12-04
HL1,2,2005-01-01
JMP,1,2005-01-01
SD1,2,2005-01-01
SD1,28,2005-01-01
SD2,28,2005-01-01
RDS,4,2005-02-01
WC5,3,2005-02-15
SP1,1,2005-02-26
FET,60,2005-03-01
DR1,267,2005-03-19
DL7,1,2005-04-01
SD3,31,2005-05-09
SD4,32,2005-05-09
SP1,1,2005-05-28
TLM,60,2005-06-01
TP6,20,2005-06-01
TLM,4,2005-06-10
DL8,1,2005-06-30
DB,264,2005-07-27
TYL,1,2005-08-05
SP1,1,2005-08-06
WCS,2,2005-08-07
CRV,60,2005-08-17
SJC,1,2005-08-20
NTR,3,2005-08-30
CT2,6,2005-09-01
FL1,3,2005-10-01
MC2,6,2005-10-18
DR2,228,2005-10-20
SD5,36,2005-10-28
JMP,1,2005-11-01
TP7,20,2005-11-01
SP1,1,2005-11-05
EEN,60,2005-11-16
EEN,4,2005-11-30
PT1,2,2005-12-17
HL03,1,2006-01-01
HL03,1,2006-01-01
HL03,1,2006-01-01
HL03,1,2006-01-01
HL03,1,2006-01-01
HL03,1,2006-01-01
HL03,1,2006-01-01
HL2,1,2006-01-01
HL2,1,2006-01-01
HL2,1,2006-01-01
HL2,1,2006-01-01
HL2,1,2006-01-01
HL2,1,2006-01-01
JMP,1,2006-01-01
MF01,1,2006-01-01
MF02,4,2006-01-01
MF03,11,2006-01-01
DL9,1,2006-01-03
GX1,3,2006-01-10
SD6,36,2006-01-18
DP1,30,2006-02-08
DP2,30,2006-02-08
SOI,60,2006-02-18
SP2,1,2006-02-18
ROD,2,2006-02-22
YSD,1,2006-03-01
DPK,3,2006-03-09
WC6,3,2006-03-14
YSD,40,2006-03-23
GSE,1,2006-04-01
SOI,4,2006-04-01
DL10,1,2006-04-28
DL2,4,2006-04-28
DL3,1,2006-04-28
DL4,1,2006-04-28
DL5,1,2006-04-28
TP8,20,2006-04-28
JUMP,3,2006-05-01
SJC,1,2006-05-06
SP2,1,2006-05-13
SD7,32,2006-05-15
EOJ,60,2006-05-17
WCPS,1,2006-07-02
SD8,36,2006-07-12
UBP1,5,2006-07-19
TKN1,4,2006-07-20
SP02,1,2006-08-05
POTD,60,2006-08-16
CT03,3,2006-09-11
SD09,36,2006-10-20
SD09,1,2006-10-25
PT02,2,2006-10-28
CT03,3,2006-11-01
JUMP,1,2006-11-01
SP02,1,2006-11-04
CP01,20,2006-11-11
UE02,1,2006-11-11
CDIP,60,2006-11-15
GX02,3,2006-11-16
DR3,240,2006-11-25
JUMP,1,2006-12-01
MDP2,20,2006-12-22
HL04,1,2007-01-01
HL04,1,2007-01-01
HL04,1,2007-01-01
HL04,1,2007-01-01
HL05,1,2007-01-01
HL05,1,2007-01-01
HL05,1,2007-01-01
HL05,1,2007-01-01
HL05,1,2007-01-01
HL05,1,2007-01-01
JUMP,1,2007-01-01
GX03,3,2007-01-02
SD10,37,2007-01-17
SJCS,1,2007-01-27
CP02,20,2007-02-06
DP03,30,2007-02-07
DP05,30,2007-02-07
STON,1,2007-02-24
STON,69,2007-02-28
DP04,30,2007-03-07
STON,2,2007-03-14
WC07,3,2007-03-20
JUMP,1,2007-04-21
FOTB,1,2007-05-05
CP03,20,2007-05-15
FOTB,69,2007-05-16
JUMP,1,2007-06-01
FOTB,2,2007-06-25
JUMP,2,2007-07-15
YSDJ,41,2007-07-25
YSDS,41,2007-07-25
PP01,15,2007-07-26
WCPS,3,2007-07-28
HL04,1,2007-08-04
TAEV,1,2007-08-04
TAEV,90,2007-08-15
SJCS,1,2007-08-18
CT04,3,2007-08-29
JUMP,1,2007-09-01
CP04,20,2007-09-06
TAEV,2,2007-09-12
GX04,3,2007-09-18
PT03,2,2007-10-13
SDRL,37,2007-10-24
JUMP,1,2007-11-01
GLAS,1,2007-11-03
GXNG,1,2007-11-03
YG01,1,2007-11-06
HL04,1,2007-11-10
EHC1,4,2007-11-13
EHC2,4,2007-11-13
DR04,245,2007-11-14
GLAS,95,2007-11-14
LDPP,1,2007-11-14
CT04,3,2007-11-15
YDB1,3,2007-11-30
WC08,3,2007-12-04
GX05,3,2007-12-07
GLAS,2,2007-12-12
HL06,1,2008-01-01
HL06,1,2008-01-01
HL06,1,2008-01-01
HL06,1,2008-01-01
HL06,1,2008-01-01
HL07,1,2008-01-01
HL07,1,2008-01-01
HL07,1,2008-01-01
HL07,1,2008-01-01
HL07,1,2008-01-01
HL07,1,2008-01-01
JUMP,1,2008-01-01
CP05,20,2008-01-08
JUMP,4,2008-01-16
HL06,1,2008-01-21
DP06,25,2008-01-26
DP07,25,2008-01-26
PTDN,1,2008-01-26
JUMP,1,2008-02-01
PTDN,100,2008-02-13
SJCS,1,2008-03-08
DPCT,1,2008-03-11
PTDN,2,2008-03-12
DPCT,1,2008-03-23
GLD1,45,2008-04-02
SDDE,36,2008-04-02
JUMP,1,2008-05-01
JUMP,1,2008-05-01
LODT,1,2008-05-03
CP06,20,2008-05-12
LODT,100,2008-05-13
LODT,2,2008-06-18
RP01,101,2008-07-08
PP02,20,2008-07-31
DTP1,20,2008-08-04
5DS1,43,2008-08-05
TDGS,1,2008-08-09
CT05,2,2008-08-18
CP07,20,2008-09-01
JUMP,1,2008-09-01
TDGS,100,2008-09-02
CT05,3,2008-09-23
TDGS,2,2008-10-07
SDZW,37,2008-10-21
CSOC,1,2008-11-01
CT05,2,2008-11-03
YG02,1,2008-11-04
JUMP,1,2008-11-05
CSOC,100,2008-11-18
DLG1,113,2008-11-21
GX06,3,2008-11-28
YAP1,8,2008-12-08
CSOC,2,2008-12-09
JUMP,1,2009-01-01
CP08,20,2009-01-05
JUMP,2,2009-02-01
DP08,30,2009-02-24
CRMS,1,2009-02-28
JUMP,1,2009-03-01
CRMS,100,2009-03-03
RGBT,7,2009-03-10
SDSC,38,2009-03-31
SDSC,1,2009-03-31
CRMS,2,2009-04-07
GLD2,50,2009-04-21
SJCS,1,2009-04-26
RGBT,1,2009-05-02
RGBT,100,2009-05-12
WB01,3,2009-05-19
WC09,2,2009-05-19
WC09,1,2009-05-19
JUMP,1,2009-06-01
YG03,1,2009-06-02
5DS2,43,2009-06-09
YR01,1,2009-06-10
DTP1,18,2009-06-20
RGBT,2,2009-06-23
DPYG,30,2009-07-07
RP02,101,2009-07-28
DLDI,5,2009-08-01
ANPR,1,2009-08-15
DL09,20,2009-08-15
TU01,21,2009-08-15
CT06,2,2009-08-18
ANPR,100,2009-09-01
JUMP,1,2009-09-01
CT06,4,2009-09-22
ANPR,2,2009-10-09
SDWS,38,2009-10-23
DDY1,1,2009-11-01
JUMP,1,2009-11-01
SOVR,1,2009-11-01
CT06,2,2009-11-03
HA01,30,2009-11-05
SOVR,100,2009-11-17
TF04,3,2009-11-17
SOVR,2,2009-12-11
JUMP,1,2010-01-01
JMP,1,2010-01-05
TWED,1,2010-01-05
YG04,1,2010-01-05
TU02,21,2010-01-09
DP09,30,2010-01-15
DT01,100,2010-01-29
YR01,1,2010-02-02
ABPF,1,2010-02-06
ABPF,100,2010-02-12
SDMM,37,2010-02-19
WC10,3,2010-02-23
JUMP,2,2010-03-01
JUMP,1,2010-03-01
DPCT,10,2010-03-05
ABPF,2,2010-03-26
DPKB,40,2010-04-16
YR04,1,2010-04-29
JUMP,2,2010-05-01
JUMP,1,2010-05-01
TSHD,1,2010-05-01
TSHD,100,2010-05-07
YCSW,3,2010-05-16
DT02,100,2010-05-25
5DS3,42,2010-05-28
YR05,1,2010-06-02
GLD3,50,2010-06-18
